min,max,avg
3326451,3583243,3339163
3329931,3515669,3339259
3327913,3546292,3339204
3327071,6209500,3339787
27051248,29579138,28667018
3331971,3544521,3339133
3330955,3519794,3339156
3321215,3527275,3339210
3328305,3524271,3339506
26878685,29538010,27928522
3330791,17283532,3342864
3328939,3533021,3339102
3330840,3520173,3339100
3315245,9220247,3342014
27389477,79789637,30801158
3331089,14974746,3344925
3330378,3618020,3340222
3320184,49695555,3365652
3325570,19075627,8883949
62279920,90186426,74424962
3322102,42039016,3386089
3329813,178610098,3758259
3317002,31226681,3503311
3333194,441484936,45761044
333579992,396468752,371063545
3326843,3546518,3338839
3332998,3509000,3338852
3329005,3508620,3338833
3322477,3619632,3339408
26506847,28466437,27226161
3320436,6271059,3342071
3322825,16633742,3344252
3327561,18154653,3341161
3319699,4027493,3340464
26704717,28195862,27413569
3327043,17542002,3341396
3330478,3498769,3339154
3320633,5910491,3339453
3322001,3587212,3342855
27250447,41320365,28424222
3332549,43951180,6944917
3259443,56434227,6956611
3300384,49807874,6974968
3329344,61995335,8087522
31548855,35186933,33317755
3333580,230128393,34976899
3333054,283901612,35220037
3334153,248665049,35155827
3333792,291051221,36334431
60238293,62496177,61191175
