min,max,avg
2939300,4215500,3380452
2990200,3920400,3376115
2900400,3952700,3376095
3137300,10010600,3374934
23701000,27836200,24497307
2890700,3878200,3375897
2827900,4071600,3375496
3093200,4996800,3375550
2693800,4155900,3379136
23941800,31586000,24814470
3038000,5595100,3376233
2834400,4721100,3377629
3007100,5414400,3377789
3067000,5119200,3384259
9983800,20381400,12023390
2819100,5346100,3384118
3065700,4159300,3380747
2860800,5857400,3380616
4078100,15549000,5346008
48026900,69193300,56266391
2896900,7492900,3459453
2891200,4967400,3452146
2882700,4770300,3428036
30240900,43236800,38591694
334331700,448385500,392329158
3042800,4574300,3388577
3232000,3668300,3383336
3170000,3709200,3382518
3194600,3619400,3383227
11142100,18548900,12667445
3226600,3601100,3383648
3194200,3700100,3387581
3206500,3633700,3383179
3246900,3698800,3381134
11460300,18716700,13489259
2714200,7046400,3388556
3058900,4274100,3384876
2873700,7300000,3699972
3204800,24976000,3943405
11384400,21461100,13769089
12217800,22062100,16519112
12750100,21002600,16492841
17256500,21087600,18707887
13390500,26931400,18786515
22341800,38589300,25542854
78767100,136787300,90157189
71155600,153267300,95016051
71255900,99792700,81530065
74933400,110343100,82762959
90347900,109588100,96324006
