min,max,avg
3331492,105390861,3496674
3333255,15124750,3347094
3325844,4400999,3343624
3336259,19898268,14546328
14542933,31127552,28984273
3331577,28676822,3368424
3333238,12867526,3345440
3327734,5041042,3351744
3336895,19102795,14710123
15189823,33477018,31501441
3333179,32291844,3361512
3329814,3637936,3340308
3334803,25238363,12401545
12334577,74922506,69724368
69644671,109822728,102748368
3332897,109111562,3467875
3332596,49697893,6616129
3363525,110953703,52414199
52882542,358571067,314886803
350592169,485284079,443686662
3319266,452800604,4124795
3333325,83434584,10782932
6016978,215839212,101510709
104278380,645957572,524861319
638875248,900065768,805501998
3333146,949503072,4853791
3333230,7807818,3346034
3333467,7382839,3720700
3607065,18655573,17278931
18383170,35764779,33786657
3323408,34031519,3672711
3327808,29021084,3888269
3333163,28738460,5437104
5926463,53579227,19596155
19744982,36209973,34991031
3334204,96571205,15750717
3333269,114026914,15808862
3333910,77893155,18372509
18271923,39375520,32430304
32101719,49166092,47584184
3334103,94962590,65899390
3335822,490770451,70107256
3838228,350431168,76527158
74734175,152208855,89928787
87658342,107471890,103854676
4120258,212898379,123549946
3524665,968529377,133441366
6132851,682767852,159905505
140057440,277828031,161076328
158368677,178128402,174462348
